college_code,name
06273,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune"
04118,"Bapurao Deshmukh College of Engineering, Sevagram"
06781,"Bhagwant Institute of Technology, Barshi"
03351,"Bharat College of Engineering, Kanhor, Badlapur(W)"
03189,"Bharati Vidyapeeth College of Engineering, Navi Mumbai"
06285,"Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune"
06288,"Bharati Vidyapeeth's College of Engineering, Kolhapur"
06796,"Bharati Vidyapeeth's College of Engineering, Lavale, Pune"
03215,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology, Andheri, Mumbai"
05130,"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik"
02777,CDS College of Engineering
16006,COEP Technological University
02533,"CSMSS Chh. Shahu College of Engineering, Aurangabad"
03477,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel"
05396,"College of Engineering and Technology, North Maharashtra Knowledge City, Jalgaon"
04304,"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur"
06250,"D.Y. Patil College of Engineering and Technology, Kolhapur"
06780,"D.Y.Patil Education Society's, D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management, Talsande, Kolhapur."
16354,DNYANVILAS COLLEGE OF ENGINEERING
06222,"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji."
06628,"Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune"
02114,"Deogiri Institute of Engineering and Management Studies, Aurangabad"
06028,"Department of Technology, Shivaji University, Kolhapur"
03546,Devi Mahalaxmi College of Engineering and Technology
06307,"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli"
03353,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai"
06797,"Dnyanshree Institute Engineering and Technology, Satara"
03208,"Don Bosco Institute of Technology, Mumbai"
06878,"Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kolhapur"
06303,"Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad"
03033,"Dr. Babasaheb Ambedkar Technological University, Lonere"
06839,"Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur"
06272,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune"
06207,"Dr. D. Y. Patil Unitech Society's Dr. D. Y. Patil Institute of Technology, Pimpri, Pune"
06991,"Dr. D.Y. Patil Technical Campus, Varale, Talegaon, Pune"
06277,"Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur"
02641,Dr. V.K. Patil College of Engineering & Technology
05161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar"
06834,"Dr.D.Y.Patil College Of Engineering & Innovation, Talegaon"
01123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati"
01125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu College of Engineering, Buldhana"
02634,"Eaglewood Polytechnic Institute, A.P Phulepimpalgaon"
02111,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar"
03210,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)"
06756,"Fabtech Technical Campus College of Engineering and Research, Sangola"
06771,"Flora Institute of Technology, Khopi, Near Khed Shivapur Toll Plaza, Pune"
03184,"Fr. Conceicao Rodrigues College of Engineering, Bandra, Mumbai"
04142,"G H Raisoni College of Engineering & Management, Nagpur"
05152,"G H Raisoni College of Engineering and Management, Jalgaon"
02113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad"
06155,"G.H.Raisoni College of Engineering & Management, Wagholi, Pune"
03447,"G.M.Vedak Institute of Technology, Tala, Raigad."
02508,GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.
06144,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune"
06138,"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering, Wagholi, Pune"
03216,"Gharda Foundation's Gharda Institute of Technology, Khed, Ratnagiri"
05171,"Godavari Foundation's Godavari College Of Engineering, Jalgaon"
05181,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik"
04302,"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara"
06004,"Government College of Engineering & Research, Avasari Khurd"
01002,"Government College of Engineering, Amravati"
04004,"Government College of Engineering, Chandrapur"
02008,"Government College of Engineering, Chhatrapati Sambhajinagar"
05004,"Government College of Engineering, Jalgaon"
06005,"Government College of Engineering, Karad"
06036,"Government College of Engineering, Kolhapur"
04025,"Government College of Engineering, Nagpur"
01012,"Government College of Engineering, Yavatmal"
05418,"Guru Gobind Singh College of Engineering & Research Centre, Nashik."
04134,"Guru Nanak Institute of Engineering & Technology, Kalmeshwar, Nagpur"
04196,"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur"
03222,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar"
02135,"Hi-Tech Institute of Technology, Aurangabad"
05170,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal"
05303,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha, "
03200,"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri"
06622,ISBM College Of Engineering Pune
03465,"Ideal Institute of Technology, Wada, Dist.Thane"
03726,Imperial College of Engineering
03503,"Indala College Of Engineering, Bapsai Tal.Kalyan"
06179,"Indira College of Engineering & Management, Pune"
03036,"Institute of Chemical Technology, Matunga, Mumbai"
02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna"
02516,International Centre Of Excellence In Engineering and Management (ICEEM)
06754,"International Institute of Information Technology (I²IT), Pune."
05239,JAMIA INSTITUTE OF TECHNOLOGY
04175,"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha"
02772,"JSPM College of Engineering, Latur"
06755,"JSPM Narhe Technical Campus, Pune."
06145,"JSPM'S Jaywantrao Sawant College of Engineering, Pune"
05124,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon"
01127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal"
04197,"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)"
04138,"Jaidev Education Society, J D College of Engineering and Management, Nagpur"
06609,"Jaihind College Of Engineering, Kuran"
01117,"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad"
03146,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering, Kharghar, Navi Mumbai"
05401,"Jawahar Education Society's Institute of Technology, Management & Research, Nashik."
01120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal"
06311,"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi"
06313,"Jaywant College of Engineering & Polytechnic, Kille Macchindragad Tal. Walva District- Sangali"
06141,"Jaywant Shikshan Prasarak Mandal's, Rajarshi Shahu College of Engineering, Tathawade, Pune"
02637,"Jijau Institute of Engineering Technology and Management, Khandgaon (Bendri), Taluka Naigaon, District Nanded"
03209,K J Somaiya Institute of Technology
06214,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli"
06184,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli"
05121,"K. K. Wagh Institute of Engineering Education and Research, Nashik"
04147,"K.D.K. College of Engineering, Nagpur"
04193,"K.D.M. Education Society, Vidharbha Institute of Technology, Umred Road, Nagpur"
06320,"K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli"
05390,"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik."
06634,"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune"
06219,"KSGBS's Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur"
06293,"Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur"
05182,"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik"
04679,"Karanjekar College of Engineering & Management, Sakoli"
06326,Karmayogi Institute of Technology
04104,"Kavi Kulguru Institute of Technology & Science, Ramtek"
05370,"Kedareshwar Gramin Vikas Pratishthan, Samajbhushan Eknathrao Dhakane College, of Engineering, Shevgaon"
06808,"Keystone School of Engineering, Pune"
05106,"Khandesh College Education Society's College Of Engineering And Management, Jalgaon"
06267,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur"
03198,"Konkan Gyanpeeth College of Engineering, Karjat"
03219,"Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur"
04188,"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni"
06305,"Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara"
14005,"Laxminarayan Innovation Technological University, Nagpur"
03224,"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat"
03196,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai"
04123,"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur"
06304,"Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita, Sangli"
03042,"Loknete Shamrao Peje Government College of Engineering, Ratnagiri"
04190,"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Bhadrawati"
03175,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai"
02129,"M.S. Bidve Engineering College, Latur"
06901,"MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi"
03725,"MAEER's Maharashtra Institute of Technology, Thane"
16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING
05151,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik."
05244,"MET's Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik"
06146,"MIT Academy of Engineering, Alandi, Pune"
05513,"MKD Institute of Technology, Nadurbar"
06276,"MKSSS's Cummins College of Engineering for Women, Karvenagar, Pune"
02133,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai"
03207,"Mahatma Education Society's Pillai College of Engineering, New Panvel"
03223,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad"
02127,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded."
03148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai"
04192,"Maitraya Education Society, Nagarjuna Institute of Engineering Technology & Management, Nagpur"
01276,"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302"
02666,Mangaldeep College of Engineering
03135,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai"
05108,"Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik"
06156,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune"
06203,"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune"
02252,"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani"
05256,Matoshri Aasarabai Institute of Technology and Research Centre
05177,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik"
05263,"Matoshri Education Soceity, Matoshri Institute Of Technology, Dhanore, Nashik"
02116,"Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi, Nanded"
02138,"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna"
05411,"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon."
01265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon."
03440,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg."
02282,"Mitthulalji Sarada Institute Of Technology, Nalwandi Road, Beed"
06281,"Modern Education Society's Wadia College of Engineering, Pune"
06640,"N. B. Navale Sinhgad College of Engineering, Kegaon, solapur"
03187,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai"
06772,"NBN Sinhgad Technical Institutes Campus, Pune"
06402,"NEW INSTITUTE OF TECHNOLOGY, KOLHAPUR"
02779,NKSPT INSTITUTE OF ENGINEERING AND TECHNOLOGY PATHIKAR CAMPUS
05169,"Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule"
02137,"Nagnathappa Halge Engineering College, Parli, Beed"
06762,"Nanasaheb Mahadik College of Engineering, Walwa, Sangli."
03723,Navjeevan Education Society's College of Engineering
06632,Navsahyadri Education Society's Group of Institutions
03471,"New Horizon Institute of Technology & Management, Thane"
05414,"Nikam Institute of Technology(Polytechnic), Dhule"
06310,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune"
01107,"P. R. Pote Patil College of Engineering & Management, Amravati"
05497,"P.G. College of Engineering & Technology, Nandurbar"
06768,"P.K. Technical Campus, Pune."
05164,"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar"
05330,"PUNE VIDYARTHI GRIHA’S COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT, NASHIK"
02015,"PURANMAL LAHOTI GOVERNMENT INSTITUTE OF ENGINEERING AND TECHNOLOGY, LATUR"
06274,"PVG's College of Engineering, Technology & Management"
01182,"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana"
02134,"Peoples Education Society's College of Engineering, Aurangabad"
06766,Phaltan Education Society's College of Engineering Thakurki Tal- Phaltan Dist-Satara
06822,"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet"
06175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune"
06223,"Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology, Solapur"
05139,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar."
05125,"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik"
03277,Pravin Rohidas Patil College of Engineering & Technology
04177,"Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred Road, Nagpur"
01128,"Prof Ram Meghe College of Engineering and Management, Badnera"
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati"
06139,"Progressive Education Society's Modern College of Engineering, Pune"
06206,"Pune District Education Association's College of Engineering, Manjari(Bk), Hadapsar, Pune"
06271,Pune Institute of Computer Technology
05172,"R. C. Patel Institute of Technology, Shirpur"
05433,"R.C. Patel College of Engineering and Polytechnic, Shirpur"
04648,"R.V. Parankar College of Engineering & Technology, Arvi, Dist Wardha"
03202,Rajendra Mane College of Engineering & Technology Ambav Deorukh
06324,Rajgad Technical Campus
04163,Rajiv Gandhi College of Engineering Research & Technology Chandrapur
05409,"Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar"
06769,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune."
06270,"Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara"
03201,"Rizvi Education Society's Rizvi College of Engineering, Bandra, Mumbai"
06643,"S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur"
03211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai"
03206,"S.S.P.M.'s College of Engineering, Kankavli"
06770,"SKN Sinhgad Institute of Technology & Science, Kusgaon(BK), Pune."
05223,"SMT. SHARCHCHANDRIKA SURESH PATIL INSTITUTE OF TECHNOLOGY (ENGINEERING & POLYTECHNIC), CHOPDA"
05173,"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul), Neminagar, Chandwad, (Nashik)"
04174,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur"
02522,"STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur."
06220,"SVERI's College of Engineering, Pandharpur"
06782,"Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj"
06758,"Sahyadri Valley College of Engineering & Technology, Rajuri, Pune."
06635,Samarth College of Engineering and Management
06545,"Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye, Satara."
04139,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur"
05331,"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik"
05109,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik"
05399,"Sanghavi College of Engineering, Varvandi, Nashik."
06811,Sanjay Ghodawat Institute
06315,Sanjeevan Group of Institutions
05160,"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon"
04133,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur"
04143,"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara"
01180,"Sanmati Engineering College, Sawargaon Barde, Washim"
02758,Sant Eknath College of Engineering
01005,"Sant Gadge Baba Amravati University, Amravati"
06803,"Sant Gajanan Maharaj College of Engineering, Gadhinglaj"
03154,"Saraswati Education Society's Saraswati College of Engineering, Kharghar Navi Mumbai"
03147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat"
03014,"Sardar Patel College of Engineering, Andheri"
06319,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur"
06308,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)"
06317,"Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)"
06269,"Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli"
02770,"Shetkari Shikshan Prasarak Mandal's Mahesh Institute of Engineering and Technology, Ashti"
03193,"Shivajirao S. Jondhale College of Engineering, Dombivali, Mumbai"
06799,"Shivganga Charitable Trust, Sangli Vishveshwarya Technical Campus, Faculty of Diploma Engineering, Patgaon, Miraj"
06275,"Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati"
05104,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon"
06322,"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi"
03423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai"
06759,"Shree Ramchandra College of Engineering, Lonikand, Pune"
06466,"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad"
06938,Shree Siddheshwar Women's College Of Engineering Solapur.
02131,"Shree Tuljabhavani College of Engineering, Tuljapur"
02112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad"
02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded"
01121,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati"
01101,"Shri Sant Gajanan Maharaj College of Engineering, Shegaon"
01116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola"
05103,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering, Dhule"
05509,"Shri Swami Samarth Institute of Management and Technology, Malwadi-Bota"
05545,"Shri Vile Parle Kelavani Mandal's College of Engineering, Shirpur"
03199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle, Mumbai"
06644,"Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj"
16121,"Shri. Anandrao Abitkar College of Engineering, Pal"
06217,"Shri. Balasaheb Mane Shikshan Prasarak Mandal's, Ashokrao Mane Group of Institutions"
05381,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha."
04144,"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur"
06795,"Shri.Someshwar Shikshan Prasarak Mandal, Sharadchandra Pawar College of Engineering & Technology, Someshwar Nagar"
04141,"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur"
06444,"Shriram Institute Of Engineering & Technology, (Poly), Paniv"
06149,"Siddhant College of Engineering, A/p Sudumbare, Tal.Maval, Dist-Pune"
01268,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile"
06187,"Sinhgad Academy of Engineering, Kondhwa (BK) Kondhwa-Saswad Road, Pune"
06177,"Sinhgad College of Engineering, Vadgaon (BK), Pune"
06185,Sinhgad Institute of Technology
06178,"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering, Vadgaon, Pune"
06182,"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)"
01114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati"
04137,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur"
03192,"Smt. Indira Gandhi College of Engineering, Navi Mumbai"
04703,"Somayya Institute of Technology, Chandrapur"
03204,"St. Francis Institute of Technology, Borivali, Mumbai"
06767,"Suman Ramesh Tulsiani Technical Campus: Faculty of Engineering, Kamshet, Pune."
04613,"Suryodaya College of Engineering & Technology, Nagpur"
03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering
06467,"Swami Vivekanand Institute Of Technology, Solapur"
06468,"Swami Vivekananda Shikshan Sanstha, Dr. Bapuji Salunkhe Institute Of Engineering & Technology, Kolhapur"
04181,"Swaminarayan Siddhanta Institute Of Technology, Nagpur"
05168,"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur"
06649,"TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune"
06122,"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune"
01126,"Takshashila Institute of Engineering & Technology, Darapur, Amravati"
06268,"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar"
03190,"Terna Engineering College, Nerul, Navi Mumbai"
02130,"Terna Public Charitable Trust's College of Engineering, Osmanabad"
03182,"Thadomal Shahani Engineering College, Bandra, Mumbai"
03176,"Thakur College of Engineering and Technology, Kandivali, Mumbai"
03724,Thakur Shree DPS College of Engineering & Management
03143,"Thakur Shyamnarayan Engineering College, Mumbai"
05249,"Trimurti Shikshan Prasarak Mandal, Trimurti Institute Of Technology, Paladhi Bk, Jalgaon"
04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur"
06625,"Universal College of Engineering & Research, Sasewadi"
02021,"University Department of Chemical Technology, Aurangabad"
05003,"University Institute of Chemical Technology, North Maharashtra University, Jalgaon"
03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai"
05597,VAMANRAO ITHAPE COLLEGE OF ENGINEERING AND MANAGEMENT
03462,"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri."
05365,"Vardhaman Education & Welfare Society, Ahinsa Institute of Technology, Post. Dondaicha, Dhule"
03188,"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai"
03012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai"
05408,"Vidya Niketan College of Engineering, Bota Sangamner"
16351,"Vidya Niketan Institute of Engineering & Technology, Lakhewadi"
03257,"Vidya Prasarak Mandal's College of Engineering, Thane"
06815,"Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala"
06284,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune"
06321,"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur"
03139,"Vidyalankar Institute of Technology, Wadala, Mumbai"
03194,"Vidyavardhini's College of Engineering and Technology, Vasai"
03217,"Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane"
02254,"Vilasrao Deshmukh Foundation Group of Institutions, Latur"
03221,"Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology, Virar"
05179,"Vishwabharati Academy's College of Engineering, Ahmednagar"
03467,"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad"
03445,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik Institute Of Technology & Research"
02189,"Vishweshwarayya Institute Of Engineering And Technology, Almala, Tq. Ausa, Dist. Latur"
01130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon"
03185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai"
04145,"Wainganga College of Engineering and Management, Dongargaon, Nagpur"
06007,"Walchand College of Engineering, Sangli"
06265,"Walchand Institute of Technology, Solapur"
03212,"Watumull Institute of Engineering & Technology, Ulhasnagar"
03214,"Xavier Institute Of Engineering C/O Xavier Technical Institute, Mahim, Mumbai"
03470,YASHWANTRAO BHONSALE INSTITUTE OF TECHNOLOGY
03220,Yadavrao Tasgaonkar College of Engineering & Management
16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon"
06757,"Yashoda Technical Campus, Wadhe, Satara."
04167,"Yeshwantrao Chavan College of Engineering, Wanadongri, Nagpur"
